_id,City Transport Service,Ave num vehicles on road per day 2021,Ave num vehicles on road per day 2022,Ave passengers per day 2021 (lakh),Ave passengers per day 2022 (lakh),Ave effective km operated per day 2021 (lakh),Ave effective km operated per day 2022 (lakh)
1,MSRTC (City operations),293,113,0.12,0.11,0.08,0.05
2,BEST,"3,159","3,142",14.77,21.19,5.51,5.35
3,Pune Mahanagar Parivahan Mahamandal Limited,714,"1,049",2.79,5.57,1.53,2.45
4,Navi Mumbai Municipal Transport,282,296,0.92,1.34,0.66,0.66
5,Nagpur Municipal Transport,157,228,0.4,0.67,0.31,0.45
6,Thane Municipal Transport,156,227,1.18,1.68,0.29,0.42
7,Vasai-Virar Municipal Transport,41,65,0.2,0.33,0.7,0.11
8,Kolhapur Municipal Transport,33,45,0.17,0.23,0.67,0.84
9,Solapur Municipal Transport,12,12,0.03,0.02,0.02,0.02
10,Kalyan-Dombivli MunicipalTransport,33,42,0.07,0.11,0.04,0.04
11,Mira-Bhayander Municipal Transport,21,52,0.13,0.38,0.06,0.11
12,Amravati Municipal Transport,-,25,-,0.2,-,0.08
13,Akola Municipal Transport@,-,-,-,-,-,-
14,Khopoli Municipal Transport,-,3,-,0.02,-,0.01
15,Latur Municipal Transport,5,13,0.03,0.01,0.08,0.02
16,Ahmednagar Municipal Transport,15,15,0.07,0.06,0.03,0.03
17,Nashik Municipal Transport#,-,104,-,0.32,-,0.22
18,Date,31st March,"","","","",""
